ticker,revised_ticker,first_qualifying_date,last_qualifying_date,mktcap_bucket,bucket_population,best_rank_in_bucket,worst_rank_in_bucket,num_hh_flagpoles,hh_dates,hh_confirmed_dates,suggested_resistances,latest_suggested_resistance,is_valid_flag,resistance_override,status,streak_still_active
AAOI,AAOI,2017-02-28,2017-04-04,small,28.0,5.0,15.0,3.0,2017-03-27; 2017-05-01; 2017-05-12,2017-03-29; 2017-05-03; 2017-05-16,60.19; 52.1; 67.01,67.01,,,OK,
AAOI,AAOI,2017-05-12,2017-06-07,small,17.0,1.0,7.0,2.0,2017-05-23; 2017-06-06,2017-05-25; 2017-06-08,71.7; 75.59,75.59,,,OK,
AAOI,AAOI,2017-07-20,2017-08-07,small,15.0,1.0,15.0,2.0,2017-07-27; 2017-09-19,2017-07-31; 2017-09-21,103.41; 71.29,71.29,,,OK,
AAOI,AAOI,2018-04-24,2018-05-09,small,25.0,3.0,11.0,3.0,2018-04-27; 2018-05-08; 2018-06-04,2018-05-01; 2018-05-10; 2018-06-06,34.52; 35.7399; 49.75,49.75,,,OK,
AAOI,AAOI,2018-06-06,2018-06-18,small,30.0,8.0,15.0,1.0,2018-07-13,2018-07-17,50.3,50.3,,,OK,
AAOI,AAOI,2018-07-10,2018-07-16,small,18.0,16.0,16.0,1.0,2018-08-08,2018-08-10,46.0,46.0,,,OK,
AAOI,AAOI,2022-09-16,2022-09-23,small,58.0,8.0,15.0,3.0,2022-09-20; 2022-10-06; 2022-10-27,2022-09-22; 2022-10-10; 2022-10-31,4.0; 3.115; 3.0,3.0,,,OK,
AAOI,AAOI,2023-07-06,2023-07-26,small,30.0,1.0,8.0,3.0,2023-07-13; 2023-08-15; 2023-08-24,2023-07-17; 2023-08-17; 2023-08-28,11.48; 15.9; 16.26,16.26,,,OK,
AAOI,AAOI,2023-08-09,2023-09-05,small,49.0,3.0,11.0,1.0,2023-10-02,2023-10-04,11.68,11.68,,,OK,
AAOI,AAOI,2023-11-16,2023-12-19,small,31.0,2.0,14.0,2.0,2023-11-20; 2023-12-19,2023-11-22; 2023-12-21,14.63; 24.08,24.08,,,OK,
AAOI,AAOI,2024-09-04,2024-09-30,small,36.0,6.0,15.0,3.0,2024-09-04; 2024-09-12; 2024-10-18,2024-09-06; 2024-09-16; 2024-10-22,13.65; 14.99; 20.34,20.34,,,OK,
AAOI,AAOI,2024-11-20,2024-12-04,small,87.0,7.0,16.0,3.0,2024-11-25; 2024-12-04; 2024-12-26,2024-11-27; 2024-12-06; 2024-12-30,39.61; 44.5; 41.27,41.27,,,OK,
AAOI,AAOI,2025-12-22,2026-01-09,mid,50.0,2.0,16.0,4.0,2025-12-23; 2026-01-22; 2026-02-02; 2026-02-11,2025-12-26; 2026-01-26; 2026-02-04; 2026-02-13,41.96; 41.39; 49.11; 50.8,50.8,,,OK,
AAOI,AAOI,2026-02-10,2026-03-24,mid,65.0,1.0,15.0,4.0,2026-03-11; 2026-04-13; 2026-04-21; 2026-05-01,2026-03-13; 2026-04-15; 2026-04-23; 2026-05-05,128.96; 155.4; 173.4099; 191.87,191.87,,,OK,
AAOI,AAOI,2026-04-08,2026-05-05,mid,69.0,2.0,15.0,2.0,2026-05-13; 2026-06-04,2026-05-15; 2026-06-08,233.67; 209.64,209.64,,,OK,
AAOI,AAOI,2026-08-26,2026-08-27,,,,,0.0,,,,,,,no_pivot_yet,False
AAON,AAON,2026-05-08,2026-05-20,mid,98.0,12.0,16.0,3.0,2026-05-07; 2026-05-27; 2026-06-03,2026-05-11; 2026-05-29; 2026-06-05,149.0; 145.87; 150.4599,150.4599,,,OK,
AAON,AAON,2026-05-28,2026-06-01,,,,,0.0,,,,,,,no_pivot_yet,False
AAP,AAP,2025-05-29,2025-06-11,mid,52.0,6.0,13.0,3.0,2025-05-29; 2025-06-11; 2025-07-11,2025-06-02; 2025-06-13; 2025-07-15,53.1299; 53.5999; 63.26,63.26,,,OK,
AAP,AAP,2026-02-12,2026-02-20,mid,70.0,9.0,13.0,3.0,2026-02-13; 2026-03-12; 2026-04-01,2026-02-18; 2026-03-16; 2026-04-06,65.1999; 54.56; 54.49,54.49,,,OK,
AAWW^23,AAWW,2011-12-01,2011-12-12,small,10.0,7.0,15.0,3.0,2011-11-30; 2012-01-03; 2012-01-11,2011-12-02; 2012-01-05; 2012-01-13,42.27; 39.87; 41.99,41.99,,,OK,
ABAT,ABAT,2021-01-04,2021-01-27,,,,,0.0,,,,,,,no_pivot_yet,False
ABAT,ABAT,2021-02-04,2021-02-08,,,,,0.0,,,,,,,no_pivot_yet,False
ABAT,ABAT,2021-02-12,2021-02-17,,,,,0.0,,,,,,,no_pivot_yet,False
ABAT,ABAT,2024-12-26,2024-12-27,small,78.0,13.0,13.0,1.0,2024-12-27,2024-12-31,4.11,4.11,,,OK,
ABAT,ABAT,2025-01-13,2025-01-16,,,,,0.0,,,,,,,no_pivot_yet,False
ABAT,ABAT,2025-07-24,2025-07-29,small,125.0,5.0,14.0,2.0,2025-07-25; 2025-08-15,2025-07-29; 2025-08-19,3.89; 2.87,2.87,,,OK,
ABAT,ABAT,2025-09-29,2025-10-15,small,112.0,6.0,16.0,1.0,2025-10-15,2025-10-17,11.49,11.49,,,OK,
ABBNY,ABBNY,2008-12-18,2008-12-19,,,,,0.0,,,,,,,no_pivot_yet,False
ABBV,ABBV,2018-02-09,2018-02-14,large_plus,8.0,3.0,5.0,2.0,2018-02-20; 2018-02-27,2018-02-22; 2018-03-01,121.55; 122.0,122.0,,,OK,
ABCL,ABCL,2022-06-17,2022-07-14,,,,,0.0,,,,,,,no_pivot_yet,False
ABCL,ABCL,2022-11-16,2022-11-22,,,,,0.0,,,,,,,no_pivot_yet,False
ABCL,ABCL,2025-06-20,2025-06-25,,,,,0.0,,,,,,,no_pivot_yet,False
ABCL,ABCL,2026-08-14,2026-09-09,mid,85.0,1.0,15.0,2.0,2026-08-19; 2026-08-27,2026-08-21; 2026-08-31,12.15; 12.5799,12.5799,,,OK,
ABEO,ABEO,2015-05-05,2015-06-02,,,,,0.0,,,,,,,no_pivot_yet,False
ABEO,ABEO,2017-09-07,2017-10-12,small,14.0,1.0,16.0,4.0,2017-09-05; 2017-09-18; 2017-09-29; 2017-10-11,2017-09-07; 2017-09-20; 2017-10-03; 2017-10-13,381.125; 447.5; 472.5; 568.75,568.75,,,OK,
ABEO,ABEO,2017-10-20,2017-10-24,small,19.0,13.0,16.0,1.0,2017-11-29,2017-12-01,442.375,442.375,,,OK,
ABEO,ABEO,2017-10-30,2017-10-31,,,,,0.0,,,,,,,no_pivot_yet,False
ABEO,ABEO,2018-03-21,2018-03-22,small,34.0,12.0,15.0,1.0,2018-04-23,2018-04-25,550.0,550.0,,,OK,
ABEO,ABEO,2018-04-11,2018-05-02,,,,,0.0,,,,,,,no_pivot_yet,False
ABEO,ABEO,2025-05-02,2025-05-05,small,34.0,13.0,16.0,2.0,2025-04-30; 2025-05-21,2025-05-02; 2025-05-23,7.3236; 7.17,7.17,,,OK,
ABG,ABG,2022-05-10,2022-05-20,mid,25.0,3.0,13.0,1.0,2022-06-09,2022-06-13,190.74,190.74,,,OK,
ABKFQ^13,ABKFQ,2007-12-27,2008-01-04,,,,,0.0,,,,,,,no_daily_bars,False
ABKFQ^13,ABKFQ,2008-07-31,2008-09-15,,,,,0.0,,,,,,,no_daily_bars,False
ABKFQ^13,ABKFQ,2009-08-27,2009-09-28,,,,,0.0,,,,,,,no_daily_bars,False
ABKFQ^13,ABKFQ,2010-04-12,2010-05-04,,,,,0.0,,,,,,,no_daily_bars,False
ABKFQ^13,ABKFQ,2010-10-18,2010-10-29,,,,,0.0,,,,,,,no_daily_bars,False
ABLE,ABLE,2005-06-06,2005-06-10,,,,,0.0,,,,,,,no_pivot_yet,False
ABMD^22,ABMD,2012-02-16,2012-02-23,small,40.0,11.0,16.0,2.0,2012-03-13; 2012-03-26,2012-03-15; 2012-03-28,22.48; 23.8,23.8,,,OK,
ABMD^22,ABMD,2015-08-21,2015-08-31,mid,8.0,2.0,4.0,2.0,2015-09-09; 2015-09-17,2015-09-11; 2015-09-21,98.9; 107.88,107.88,,,OK,
ABMD^22,ABMD,2018-10-10,2018-10-11,large_plus,2.0,1.0,1.0,1.0,2018-11-07,2018-11-09,427.6975,427.6975,,,OK,
ABMD^22,ABMD,2019-11-18,2019-11-21,,,,,0.0,,,,,,,no_pivot_yet,False
ABNB,ABNB,2021-02-08,2021-02-12,large_plus,41.0,10.0,15.0,2.0,2021-02-11; 2021-03-16,2021-02-16; 2021-03-18,219.94; 215.49,215.49,,,OK,
ABNB,ABNB,2022-02-24,2022-02-25,large_plus,12.0,9.0,12.0,3.0,2022-03-24; 2022-03-29; 2022-04-05,2022-03-28; 2022-03-31; 2022-04-07,171.0; 178.88; 179.09,179.09,,,OK,
ABOS,ABOS,2022-09-30,2022-10-20,small,23.0,3.0,13.0,2.0,2022-09-30; 2022-11-15,2022-10-04; 2022-11-17,10.97; 7.12,7.12,,,OK,
ABOS,ABOS,2023-07-27,2023-08-07,,,,,0.0,,,,,,,no_pivot_yet,False
ABSI,ABSI,2025-02-03,2025-02-20,small,65.0,7.0,16.0,1.0,2025-02-18,2025-02-20,6.33,6.33,,,OK,
ABSI,ABSI,2026-04-27,2026-04-29,small,113.0,13.0,15.0,3.0,2026-05-06; 2026-05-29; 2026-06-04,2026-05-08; 2026-06-02; 2026-06-08,6.235; 7.34; 7.39,7.39,,,OK,
ABSI,ABSI,2026-05-06,2026-05-07,,,,,0.0,,,,,,,no_pivot_yet,False
ABSI,ABSI,2026-06-24,2026-07-15,small,101.0,5.0,16.0,2.0,2026-06-29; 2026-08-20,2026-07-01; 2026-08-24,12.055; 10.03,10.03,,,OK,
ABTC,ABTC,2025-05-19,2025-06-05,,,,,0.0,,,,,,,no_pivot_yet,False
ABTC,ABTC,2025-09-08,2025-09-10,,,,,0.0,,,,,,,no_pivot_yet,False
ABTC,ABTC,2026-08-25,2026-09-03,small,89.0,7.0,16.0,2.0,2026-08-27; 2026-09-03,2026-08-31; 2026-09-08,9.31; 9.47,9.47,,,OK,
ABTS,ABTS,2021-04-05,2021-04-29,,,,,0.0,,,,,,,no_pivot_yet,False
ABTS,ABTS,2021-05-20,2021-06-10,,,,,0.0,,,,,,,no_pivot_yet,False
ABTS,ABTS,2021-06-30,2021-07-22,,,,,0.0,,,,,,,no_pivot_yet,False
ABUS,ABUS,2014-03-07,2014-03-21,,,,,0.0,,,,,,,no_pivot_yet,False
ABUS,ABUS,2014-08-12,2014-09-08,,,,,0.0,,,,,,,no_pivot_yet,False
ABUS,ABUS,2014-09-12,2014-09-16,,,,,0.0,,,,,,,no_pivot_yet,False
ABUS,ABUS,2014-09-22,2014-10-16,,,,,0.0,,,,,,,no_pivot_yet,False
ABUS,ABUS,2015-01-13,2015-02-09,,,,,0.0,,,,,,,no_pivot_yet,False
ABUS,ABUS,2020-07-23,2020-07-30,small,101.0,7.0,16.0,2.0,2020-07-24; 2020-08-06,2020-07-28; 2020-08-10,9.02; 4.8853,4.8853,,,OK,
ABUS,ABUS,2020-08-05,2020-08-07,small,106.0,12.0,14.0,1.0,2020-09-15,2020-09-17,3.3899,3.3899,,,OK,
ABUS,ABUS,2021-12-16,2021-12-23,,,,,0.0,,,,,,,no_pivot_yet,False
ABVC,ABVC,2021-11-02,2021-11-10,small,61.0,8.0,16.0,2.0,2021-11-01; 2021-12-10,2021-11-03; 2021-12-14,116.9; 42.6,42.6,,,OK,
ABVEF,ABVEF,2025-10-08,2025-10-09,,,,,0.0,,,,,,,no_pivot_yet,False
ABVEF,ABVEF,2025-10-15,2025-10-30,,,,,0.0,,,,,,,no_pivot_yet,False
ABVX,ABVX,2025-08-06,2025-08-15,mid,39.0,1.0,1.0,1.0,2025-09-05,2025-09-09,92.91,92.91,,,OK,
ABVX,ABVX,2025-11-21,2025-11-25,mid,55.0,8.0,13.0,3.0,2025-11-26; 2025-12-10; 2025-12-24,2025-12-01; 2025-12-12; 2025-12-29,130.25; 138.4899; 148.83,148.83,,,OK,
ABVX,ABVX,2025-12-29,2026-01-09,,,,,0.0,,,,,,,no_pivot_yet,False
ABVX,ABVX,2026-07-10,2026-07-14,,,,,0.0,,,,,,,no_pivot_yet,False
ABWTQ^10,ABWTQ,2007-10-26,2007-11-02,,,,,0.0,,,,,,,no_daily_bars,False
ABWTQ^10,ABWTQ,2008-04-15,2008-04-16,,,,,0.0,,,,,,,no_daily_bars,False
ACAD,ACAD,2006-02-15,2006-02-23,,,,,0.0,,,,,,,no_pivot_yet,False
ACAD,ACAD,2007-03-20,2007-04-19,small,9.0,1.0,14.0,2.0,2007-03-27; 2007-04-04,2007-03-29; 2007-04-09,16.84; 17.08,17.08,,,OK,
ACAD,ACAD,2012-11-28,2012-12-20,small,6.0,1.0,1.0,3.0,2012-11-27; 2013-01-15; 2013-01-28,2012-11-29; 2013-01-17; 2013-01-30,6.535; 6.0; 6.88,6.88,,,OK,
ACAD,ACAD,2013-01-16,2013-02-14,small,17.0,2.0,15.0,2.0,2013-03-08; 2013-03-21,2013-03-12; 2013-03-25,6.67; 8.81,8.81,,,OK,
ACAD,ACAD,2013-03-22,2013-05-07,small,17.0,1.0,12.0,3.0,2013-04-11; 2013-05-20; 2013-06-10,2013-04-15; 2013-05-22; 2013-06-12,13.92; 14.75; 20.09,20.09,,,OK,
ACAD,ACAD,2013-06-11,2013-07-01,small,24.0,3.0,7.0,2.0,2013-07-18; 2013-08-06,2013-07-22; 2013-08-08,20.68; 21.85,21.85,,,OK,
ACAD,ACAD,2013-10-08,2013-10-11,,,,,0.0,,,,,,,no_pivot_yet,False
ACAD,ACAD,2013-12-10,2013-12-18,mid,8.0,3.0,6.0,1.0,2013-12-26,2013-12-30,26.5,26.5,,,OK,
ACAD,ACAD,2014-02-25,2014-03-17,mid,8.0,1.0,16.0,1.0,2014-02-28,2014-03-04,32.0,32.0,,,OK,
ACAD,ACAD,2015-03-12,2015-03-18,mid,18.0,11.0,15.0,2.0,2015-03-10; 2015-04-17,2015-03-12; 2015-04-21,46.48; 39.33,39.33,,,OK,
ACAD,ACAD,2015-11-10,2015-11-13,mid,31.0,13.0,16.0,1.0,2015-11-30,2015-12-02,39.41,39.41,,,OK,
ACAD,ACAD,2016-03-29,2016-04-21,mid,39.0,1.0,15.0,4.0,2016-04-07; 2016-04-14; 2016-04-25; 2016-05-25,2016-04-11; 2016-04-18; 2016-04-27; 2016-05-27,34.06; 35.14; 35.18; 35.7,35.7,,,OK,
ACAD,ACAD,2016-06-21,2016-06-22,mid,9.0,7.0,7.0,1.0,2016-07-28,2016-08-01,37.99,37.99,,,OK,
ACAD,ACAD,2016-10-03,2016-10-04,mid,8.0,8.0,9.0,1.0,2016-11-10,2016-11-14,30.2299,30.2299,,,OK,
ACAD,ACAD,2016-11-25,2016-12-02,mid,14.0,10.0,16.0,4.0,2016-12-05; 2016-12-20; 2016-12-27; 2017-01-09,2016-12-07; 2016-12-22; 2016-12-29; 2017-01-11,28.78; 30.14; 30.98; 33.3294,33.3294,,,OK,
ACAD,ACAD,2016-12-28,2016-12-30,mid,5.0,5.0,5.0,1.0,2017-02-09,2017-02-13,39.04,39.04,,,OK,
ACAD,ACAD,2017-01-09,2017-01-24,mid,6.0,3.0,9.0,2.0,2017-02-16; 2017-02-23,2017-02-21; 2017-02-27,40.49; 40.83,40.83,,,OK,
ACAD,ACAD,2018-09-28,2018-10-30,mid,12.0,2.0,6.0,3.0,2018-09-27; 2018-11-02; 2018-11-29,2018-10-01; 2018-11-06; 2018-12-03,22.22; 23.55; 21.03,21.03,,,OK,
ACAD,ACAD,2019-09-12,2019-10-02,mid,12.0,1.0,5.0,3.0,2019-09-16; 2019-10-22; 2019-11-12,2019-09-18; 2019-10-24; 2019-11-14,44.85; 44.1; 47.79,47.79,,,OK,
ACAD,ACAD,2020-04-16,2020-04-17,mid,31.0,15.0,16.0,2.0,2020-04-27; 2020-05-19,2020-04-29; 2020-05-21,52.74; 53.1343,53.1343,,,OK,
ACAD,ACAD,2021-12-14,2022-01-06,mid,18.0,3.0,11.0,4.0,2021-12-20; 2022-02-02; 2022-02-10; 2022-02-16,2021-12-22; 2022-02-04; 2022-02-14; 2022-02-18,27.19; 24.02; 27.235; 27.81,27.81,,,OK,
ACAD,ACAD,2023-12-22,2024-01-03,mid,49.0,9.0,16.0,1.0,2023-12-22,2023-12-27,32.59,32.59,,,OK,
ACAD,ACAD,2025-05-22,2025-06-05,mid,49.0,10.0,15.0,2.0,2025-06-04; 2025-06-20,2025-06-06; 2025-06-24,23.4; 23.24,23.24,,,OK,
ACAS^17,ACAS,2008-09-22,2008-10-01,mid,105.0,10.0,16.0,2.0,2008-09-23; 2008-11-04,2008-09-25; 2008-11-06,22.3451; 12.8235,12.8235,,,OK,
ACAS^17,ACAS,2009-01-14,2009-01-21,,,,,0.0,,,,,,,no_pivot_yet,False
ACAS^17,ACAS,2009-04-06,2009-04-22,small,197.0,1.0,7.0,3.0,2009-04-02; 2009-04-14; 2009-05-05,2009-04-06; 2009-04-16; 2009-05-07,2.2118; 2.4235; 4.3608,4.3608,,,OK,
ACAS^17,ACAS,2009-06-26,2009-07-15,small,29.0,4.0,11.0,1.0,2009-08-03,2009-08-05,3.7,3.7,,,OK,
ACAS^17,ACAS,2009-10-07,2009-10-08,small,34.0,7.0,7.0,1.0,2009-10-19,2009-10-21,3.4,3.4,,,OK,
ACAS^17,ACAS,2010-01-20,2010-02-04,small,41.0,5.0,9.0,2.0,2010-01-21; 2010-03-10,2010-01-25; 2010-03-12,4.62; 4.93,4.93,,,OK,
ACAS^17,ACAS,2010-02-23,2010-03-16,small,16.0,4.0,16.0,2.0,2010-04-07; 2010-04-21,2010-04-09; 2010-04-23,5.75; 6.4325,6.4325,,,OK,
ACB,ACB,2017-11-27,2017-12-15,,,,,0.0,,,,,,,no_pivot_yet,False
ACB,ACB,2017-12-29,2018-01-31,,,,,0.0,,,,,,,no_pivot_yet,False
ACB,ACB,2018-06-08,2018-06-21,,,,,0.0,,,,,,,no_pivot_yet,False
ACB,ACB,2018-06-28,2018-07-06,,,,,0.0,,,,,,,no_pivot_yet,False
ACB,ACB,2018-09-05,2018-10-23,,,,,0.0,,,,,,,no_pivot_yet,False
ACB,ACB,2019-01-24,2019-02-20,mid,22.0,3.0,16.0,3.0,2019-02-04; 2019-03-06; 2019-03-19,2019-02-06; 2019-03-08; 2019-03-21,1000.2; 1010.4; 1238.4,1238.4,,,OK,
ACB,ACB,2019-03-15,2019-04-03,mid,27.0,1.0,10.0,2.0,2019-04-22; 2019-04-30,2019-04-24; 2019-05-02,1107.6; 1124.4,1124.4,,,OK,
ACB,ACB,2020-11-11,2020-11-17,small,90.0,11.0,16.0,2.0,2020-11-09; 2020-11-30,2020-11-11; 2020-12-02,144.8; 125.0,125.0,,,OK,
ACB,ACB,2020-11-27,2020-12-02,small,144.0,11.0,16.0,1.0,2021-01-06,2021-01-08,113.0,113.0,,,OK,
ACB,ACB,2024-04-03,2024-05-02,small,54.0,3.0,10.0,2.0,2024-04-04; 2024-04-30,2024-04-08; 2024-05-02,8.88; 9.35,9.35,,,OK,
ACB,ACB,2025-02-24,2025-02-28,,,,,0.0,,,,,,,no_pivot_yet,False
ACCD^25,ACCD,2022-07-01,2022-07-08,small,73.0,10.0,15.0,2.0,2022-07-07; 2022-08-15,2022-07-11; 2022-08-17,11.33; 13.8,13.8,,,OK,
ACCD^25,ACCD,2022-07-22,2022-07-25,,,,,0.0,,,,,,,no_pivot_yet,False
ACCO,ACCO,2005-08-22,2005-08-31,,,,,0.0,,,,,,,no_pivot_yet,False
ACET,ACET,2021-12-06,2022-01-04,small,30.0,2.0,8.0,5.0,2021-12-08; 2021-12-21; 2022-01-04; 2022-02-01; 2022-02-10,2021-12-10; 2021-12-23; 2022-01-06; 2022-02-03; 2022-02-14,252.32; 265.36; 295.84; 215.52; 254.8,254.8,,,OK,
ACF^10,ACF,2008-05-01,2008-05-14,small,51.0,8.0,14.0,2.0,2008-05-05; 2008-05-12,2008-05-07; 2008-05-14,14.7; 14.94,14.94,,,OK,
ACF^10,ACF,2008-08-28,2008-09-22,small,47.0,3.0,16.0,1.0,2008-09-19,2008-09-23,14.9,14.9,,,OK,
ACGN^23,ACGN,2014-01-13,2014-01-14,,,,,0.0,,,,,,,no_pivot_yet,False
ACGN^23,ACGN,2014-02-20,2014-03-07,,,,,0.0,,,,,,,no_pivot_yet,False
ACGN^23,ACGN,2014-03-17,2014-03-20,,,,,0.0,,,,,,,no_pivot_yet,False
ACGN^23,ACGN,2015-01-02,2015-01-16,,,,,0.0,,,,,,,no_pivot_yet,False
ACH,ACH,2019-10-09,2019-11-04,small,12.0,5.0,15.0,2.0,2019-11-07; 2019-12-17,2019-11-11; 2019-12-19,8.33; 8.48,8.48,,,OK,
ACH,ACH,2020-04-09,2020-04-15,small,26.0,9.0,12.0,1.0,2020-04-14,2020-04-16,5.6,5.6,,,OK,
ACH,ACH,2020-07-23,2020-08-04,small,101.0,8.0,16.0,1.0,2020-08-05,2020-08-07,7.32,7.32,,,OK,
ACH,ACH,2020-08-11,2020-08-14,,,,,0.0,,,,,,,no_pivot_yet,False
ACH,ACH,2020-09-30,2020-10-05,,,,,0.0,,,,,,,no_pivot_yet,False
ACH,ACH,2020-10-19,2020-10-22,small,84.0,12.0,16.0,1.0,2020-11-30,2020-12-02,9.9501,9.9501,,,OK,
ACH,ACH,2021-03-18,2021-03-25,mid,120.0,6.0,11.0,1.0,2021-04-08,2021-04-12,12.34,12.34,,,OK,
ACH,ACH,2022-01-14,2022-01-19,mid,12.0,11.0,14.0,3.0,2022-01-12; 2022-02-10; 2022-02-22,2022-01-14; 2022-02-14; 2022-02-24,15.84; 16.76; 17.75,17.75,,,OK,
ACH,ACH,2023-11-13,2023-11-16,,,,,0.0,,,,,,,no_pivot_yet,False
