ticker,revised_ticker,name,primary_exchange,type,active,chartability
WYNN,WYNN,Wynn Resorts Ltd,XNAS,CS,True,likely_chartable
AGP^12,AGP,AMERIGROUP CORPORATION,XNYS,CS,False,likely_chartable
CNQR^14,CNQR,CONCUR TECHNOLOGIES INC,XNAS,,False,likely_chartable
ARJ^11,ARJ,ARCH CHEMICALS INC.,XNYS,CS,False,likely_chartable
ANAD^16,ANAD,ANADIGICS INC,XNAS,,False,likely_chartable
PFS,PFS,"Provident Financial Services, Inc.",XNYS,CS,True,likely_chartable
FOSL,FOSL,"Fossil Group, Inc.",XNAS,CS,True,likely_chartable
ZUMZ,ZUMZ,Zumiez Inc.,XNAS,CS,True,likely_chartable
FARO^25,FARO,Faro Technologies Inc,XNAS,CS,False,likely_chartable
LDSH^11,LDSH,LADISH CO,,,False,low_confidence
ANSS^25,ANSS,Ansys Inc,XNAS,CS,False,likely_chartable
ANST^08,ANST,ANSOFT CORP,,,False,low_confidence
DWSN,DWSN,Dawson Geophysical Company New Common Stock,XNAS,CS,True,likely_chartable
PVTB^17,PVTB,PrivateBancorp Inc,XNAS,CS,False,likely_chartable
KOP,KOP,"Koppers Holdings, Inc.",XNYS,CS,True,likely_chartable
VRTX,VRTX,Vertex Pharmaceuticals Inc,XNAS,CS,True,likely_chartable
LULU,LULU,lululemon athletica inc.,XNAS,CS,True,likely_chartable
CPHD^16,CPHD,Cepheid Inc,XNAS,CS,False,likely_chartable
OMTR^09,OMTR,"OMNITURE, INC",,,False,low_confidence
PWRD.1^15,PWRD,TCW Transform Systems ETF,XNAS,ETF,True,low_confidence
AUXL^15,AUXL,AUXILIUM PHARAMCEUTICALS INC,XNAS,,False,likely_chartable
TEO,TEO,Telecom Argentina S.A.,XNYS,ADRC,True,likely_chartable
BCSI^12,BCSI,BLUE COAT SYS INC NEW,XNAS,,False,likely_chartable
FTK,FTK,"Flotek Industries, Inc.",XNYS,CS,True,likely_chartable
DAKT,DAKT,Daktronics Inc,XNAS,CS,True,likely_chartable
CUB.1^21,CUB,Lionheart Holdings Class A Ordinary Shares,XNAS,CS,True,likely_chartable
RWT,RWT,"Redwood Trust, Inc.",XNYS,CS,True,likely_chartable
LEND.1^07,LEND,SEI High Yield Bond & Alternative Credit ETF,XNAS,ETF,True,low_confidence
DSX,DSX,"Diana Shipping, Inc.",XNYS,CS,True,likely_chartable
HBI^25,HBI,"Hanesbrands, Inc.",XNYS,CS,False,likely_chartable
CHNR,CHNR,"China Natural Resources, Inc.",XNAS,CS,True,likely_chartable
GSOL.1^17,GSOL,Grayscale Solana Staking ETF Shares,ARCX,ETV,True,low_confidence
ALTI.1^16,ALTI,"AlTi Global, Inc. Class A Common Stock",XNAS,CS,True,likely_chartable
NTES,NTES,"NetEase, inc.",XNAS,ADRC,True,likely_chartable
ASTI,ASTI,"Ascent Solar Technologies, Inc. Common Stock",XNAS,CS,True,likely_chartable
CF,CF,"CF Industries Holding, Inc.",XNYS,CS,True,likely_chartable
YTEC^12,YTEC,YUCHENG TECHNOLOGIES LIMITED COMMON STOCK,,,False,low_confidence
OMRI^08,OMRI,OMRIX BIOPHARMACEUTICALS INC COM STK,,,False,low_confidence
PBR,PBR,PETROLEO BRASILEIRO S.A.-PETROBRAS ADS (REP 1 COMMON SHARE),XNYS,ADRC,True,likely_chartable
MSTR,MSTR,Strategy Inc Common Stock Class A,XNAS,CS,True,likely_chartable
MTL^22,MTL,"Mechel PAO American Depository Shares, each representing two ordinary shares (ADSs)",XNYS,ADRC,False,likely_chartable
WINN.1^12,WINN,Harbor Long-Term Growers ETF,XNYS,ETF,True,low_confidence
EJ^16,EJ,E HOUSE (CHINA) HOLDINGS LIMITED,XNYS,CS,False,likely_chartable
CSIQ,CSIQ,Canadian Solar Inc. Common Shares (ON),XNAS,CS,True,likely_chartable
MELI,MELI,"Mercado Libre, Inc",XNAS,CS,True,likely_chartable
JASO^18,JASO,"JA Solar Holdings, Co., Ltd",XNAS,ADRC,False,likely_chartable
THC,THC,Tenet Healthcare Corporation New,XNYS,CS,True,likely_chartable
VCI^14,VCI,VALASSIS COMMUNICATIONS INC,XNYS,CS,False,likely_chartable
UTHR,UTHR,United Therapeutics Corp,XNAS,CS,True,likely_chartable
ABAX^18,ABAX,Abaxis Inc,XNAS,CS,False,likely_chartable
TGIC,TGIC,TRIAD GUARANTY INC,OTC Link,CS,True,low_confidence
MBT^22,MBT,Mobile TeleSystems Public Joint Stock Company American Depositary Shares (Each representing 2 Shares,XNYS,ADRC,False,likely_chartable
HL,HL,Hecla Mining Company,XNYS,CS,True,likely_chartable
MA,MA,Mastercard Incorporated,XNYS,CS,True,likely_chartable
DIVX.1^10,DIVX,"DIVX, INC. COM",,,False,low_confidence
MTG,MTG,MGIC Investment Corp.,XNYS,CS,True,likely_chartable
CYBS^10,CYBS,CYBERSOURCE CORPORATION,XNAS,,False,likely_chartable
AGO,AGO,"Assured Guaranty, LTD",XNYS,CS,True,likely_chartable
CQB^15,CQB,CHIQUITA BRANDS INTL (NEW),XNYS,CS,False,likely_chartable
SEED,SEED,Origin Agritech Limited,XNAS,CS,True,likely_chartable
RIGL,RIGL,Rigel Pharmaceuticals Inc. (New),XNAS,CS,True,likely_chartable
MOS,MOS,The Mosaic Company,XNYS,CS,True,likely_chartable
MATR.1^08,MATR,Harbor Multi-Asset Total Return ETF,ARCX,ETF,True,low_confidence
KGC,KGC,Kinross Gold Corporation,XNYS,CS,True,likely_chartable
NG,NG,NovaGold Resources Inc.,XASE,CS,True,likely_chartable
GSS^22,GSS,Golden Star Resources Ltd.,XASE,CS,False,likely_chartable
B,B,Barrick Mining Corporation,XNYS,CS,True,likely_chartable
JCG^11,JCG,"J. CREW GROUP, INC.",XNYS,CS,False,likely_chartable
WCG^20,WCG,"Wellcare Health Plans, Inc.",XNYS,CS,False,likely_chartable
ITMN^14,ITMN,INTERMUNE INC,XNAS,,False,likely_chartable
GOLD.3^19,GOLD,"Gold.com, Inc.",XNYS,CS,True,likely_chartable
CZZ^21,CZZ,Cosan Limited,XNYS,CS,False,likely_chartable
HMY,HMY,Harmony Gold Mining Company Limited,XNYS,ADRC,True,likely_chartable
TRA^10,TRA,TERRA INDUSTRIES INC,XNYS,CS,False,likely_chartable
ASVI^08,ASVI,A S V INC,,,False,low_confidence
BVN,BVN,Compania de Minas Buenaventura S.A.,XNYS,ADRC,True,likely_chartable
DHI,DHI,D.R. Horton Inc.,XNYS,CS,True,likely_chartable
ADPI^12,ADPI,AMERICAN DENTAL PARTNERS INC,,,False,low_confidence
PHM,PHM,"Pultegroup, Inc.",XNYS,CS,True,likely_chartable
AUY^23,AUY,"Yamana Gold, Inc.",XNYS,CS,False,likely_chartable
LEAP.5^14,LEAP,"Ribbit LEAP, Ltd.",XNYS,CS,False,likely_chartable
BPOP,BPOP,Popular Inc,XNAS,CS,True,likely_chartable
HOV,HOV,"Hovnanian Enterprises, Inc. Class A",XNYS,CS,True,likely_chartable
FNF,FNF,"Fidelity National Financial, Inc.",XNYS,CS,True,likely_chartable
GG^19,GG,Goldcorp Inc,XNYS,CS,False,likely_chartable
FMD^16,FMD,FIRST MARBLEHEAD CORP COM STK NEW (DE),XNYS,CS,False,likely_chartable
ECHO,ECHO,EchoStar Corporation,XNAS,CS,True,likely_chartable
KBH,KBH,KB Home,XNYS,CS,True,likely_chartable
BKE,BKE,"The Buckle, Inc.",XNYS,CS,True,likely_chartable
SNV^26,SNV,Synovus Financial Corp.,XNYS,CS,False,likely_chartable
PFCB^12,PFCB,P.F. CHANGS CHINA BISTRO INC,XNAS,,False,likely_chartable
TWB^09,TWB,"TWEEN BRANDS, INC. COM",XNYS,CS,False,likely_chartable
ODFL,ODFL,Old Dominion Freight Line,XNAS,CS,True,likely_chartable
NWA^08,NWA,NORTHWEST AIRLINES CORP COM STK,XNYS,CS,False,likely_chartable
PPS^16,PPS,Post Properties,XNYS,CS,False,likely_chartable
CAL.1^10,CAL,Caleres Inc,XNYS,CS,True,likely_chartable
JBLU,JBLU,JetBlue Airways Corp,XNAS,CS,True,likely_chartable
BZH,BZH,"Beazer Homes USA, Inc. New",XNYS,CS,True,likely_chartable
DAL,DAL,"Delta Air Lines, Inc.",XNYS,CS,True,likely_chartable
ETFC^20,ETFC,E*Trade Financial Corporation,XNAS,CS,False,likely_chartable
FOR,FOR,Forestar Group Inc.,XNYS,CS,True,likely_chartable
AMKR,AMKR,Amkor Technology Inc,XNAS,CS,True,likely_chartable
GBX,GBX,"The Greenbrier Companies, Inc.",XNYS,CS,True,likely_chartable
GYMB^10,GYMB,GYMBOREE CORP (THE),XNAS,,False,likely_chartable
MTH,MTH,Meritage Homes Corporation,XNYS,CS,True,likely_chartable
NCI.3^19,NCI,Neo-Concept International Group Holdings Limited Class A Ordinary Shares,XNAS,CS,True,likely_chartable
CAA^18,CAA,"CalAtlantic Group, Inc.",XNYS,CS,False,likely_chartable
BRKR,BRKR,Bruker Corporation,XNAS,CS,True,likely_chartable
TGB,TGB,Trekor Metals Limited,XASE,CS,True,likely_chartable
EGO,EGO,Eldorado Gold Corporation,XNYS,CS,True,likely_chartable
SWC^17,SWC,Stillwater Mining Co,XNYS,CS,False,likely_chartable
NFLX,NFLX,NetFlix Inc,XNAS,CS,True,likely_chartable
LNN,LNN,Lindsay Corporation,XNYS,CS,True,likely_chartable
CALM,CALM,Cal-Maine Foods Inc,XNAS,CS,True,likely_chartable
AMSC,AMSC,American Superconductor Corp,XNAS,CS,True,likely_chartable
ATN^09,ATN,ATLAS ENERGY RESOURCES LLC COM UTS REP CL B LTD LLC INTS,XNYS,CS,False,likely_chartable
GTLS^26,GTLS,"Chart Industries, Inc.",XNYS,CS,False,likely_chartable
ESE,ESE,"ESCO Technologies, Inc.",XNYS,CS,True,likely_chartable
DDS,DDS,Dillards Inc.,XNYS,CS,True,likely_chartable
CLR^22,CLR,CONTINENTAL RESOURCES INC.,XNYS,CS,False,likely_chartable
ZLC^14,ZLC,ZALE CORPORATION,XNYS,CS,False,likely_chartable
XIDEQ^15,XIDEQ,,,,,unknown_not_in_polygon
RYL^15,RYL,RYLAND GROUP INC,XNYS,CS,False,likely_chartable
HW^17,HW,Headwaters Inc,XNYS,CS,False,likely_chartable
OVTI^16,OVTI,OMNIVISION TECHNOLOGIES INC,XNAS,,False,likely_chartable
SNCR^26,SNCR,Synchronoss Technologies Inc Common Stock,XNAS,CS,False,likely_chartable
GU^12,GU,GUSHAN ENVIRONMENTAL ENGY LTD NEW SPN ADR REP TEN (10) ORD,XNYS,CS,False,likely_chartable
COCOQ^15,COCOQ,,,,,unknown_not_in_polygon
SOL^25,SOL,"Emeren Group Ltd American Depositary Shares, each representing 10 shares",XNYS,ADRC,False,likely_chartable
FEEDQ^14,FEEDQ,,,,,unknown_not_in_polygon
TLB^12,TLB,TALBOTS INC (THE),XNYS,CS,False,likely_chartable
SQM,SQM,Sociedad Quimica y Minera de Chile SA,XNYS,ADRC,True,likely_chartable
MMR^13,MMR,MCMORAN EXPLORATION CO,XNYS,CS,False,likely_chartable
MEE^11,MEE,MASSEY ENERGY COMPANY,XNYS,CS,False,likely_chartable
PGNX^20,PGNX,Progenics Pharmaceuticals Inc,XNAS,CS,False,likely_chartable
GTE,GTE,Gran Tierra Energy Inc.,XASE,CS,True,likely_chartable
CSE^14,CSE,CAPITALSOURCE INC,XNYS,CS,False,likely_chartable
VMW^23,VMW,"VMware, Inc",XNYS,CS,False,likely_chartable
AZZ,AZZ,AZZ Inc.,XNYS,CS,True,likely_chartable
GCO,GCO,Genesco Inc.,XNYS,CS,True,likely_chartable
LVLT^17,LVLT,Level 3 Communications Inc,XNYS,CS,False,likely_chartable
BEXP^11,BEXP,BRIGHAM EXPL CO,XNAS,,False,likely_chartable
SQNM^16,SQNM,SEQUENOM INC NEW,XNAS,,False,likely_chartable
WNR^17,WNR,Western Refining Inc,XNYS,CS,False,likely_chartable
GHM,GHM,Graham Corporation,XNYS,CS,True,likely_chartable
HK.1^11,HK,Halcon Resources Corporation,XNYS,CS,False,likely_chartable
EZPW,EZPW,Ezcorp Inc,XNAS,CS,True,likely_chartable
CATY,CATY,Cathay General Bancorp,XNAS,CS,True,likely_chartable
HBAN,HBAN,Huntington Bancshares Inc,XNAS,CS,True,likely_chartable
NCOC^10,NCOC,NATIONAL COAL CORP COM STK (FL),XNAS,,False,likely_chartable
WX.1^15,WX,Corgi All World 2x Daily ETF,BATS,ETF,True,low_confidence
FINL^18,FINL,Finish Line,XNAS,CS,False,likely_chartable
FITB,FITB,Fifth Third Bancorp,XNYS,CS,True,likely_chartable
RBN^13,RBN,"ROBBINS & MEYERS,INC",XNYS,CS,False,likely_chartable
KNX,KNX,Knight-Swift Transportation Holdings Inc. Class A Common Stock,XNYS,CS,True,likely_chartable
APWR^13,APWR,A-POWER ENERGY GENERATION SYSTEM LTD COM,XNAS,,False,likely_chartable
EWBC,EWBC,East-West Bancorp Inc,XNAS,CS,True,likely_chartable
PPO^15,PPO,"POLYPORE INTERNATIONAL, INC",XNYS,CS,False,likely_chartable
CSH.1^16,CSH,Morgan Creek - Exos Active SPAC Arbitrage ETF,ARCX,ETF,False,low_confidence
MEDX.1^09,MEDX,Horizon Kinetics Medical ETF,XNAS,ETF,True,low_confidence
FSYS^16,FSYS,FUEL SYSTEMS SOLUTIONS INC COM STK,XNAS,,False,likely_chartable
SANM,SANM,Sanmina  Corp,XNAS,CS,True,likely_chartable
VISN.1^17,VISN,"Vistance Networks, Inc. Common Stock",XNAS,CS,True,likely_chartable
REGN,REGN,Regeneron Pharmaceuticals Inc,XNAS,CS,True,likely_chartable
MBI,MBI,MBIA Inc.,XNYS,CS,True,likely_chartable
STSA.1^14,STSA,"Satsuma Pharmaceuticals, Inc. Common Stock",XNAS,CS,False,likely_chartable
SMG,SMG,The Scotts Miracle-Gro Company,XNYS,CS,True,likely_chartable
AXYS^09,AXYS,AXSYS TECHNOLOGIES INC,,,False,low_confidence
AYR^20,AYR,Aircastle Limited,XNYS,CS,False,likely_chartable
LCC^13,LCC,US AIRWAYS GROUP INC.,XNYS,CS,False,likely_chartable
AAI^11,AAI,AIRTRAN HOLDINGS INC,XNYS,CS,False,likely_chartable
ALK,ALK,"Alaska Air Group, Inc.",XNYS,CS,True,likely_chartable
RDN,RDN,Radian Group Inc.,XNYS,CS,True,likely_chartable
UB^08,UB,UNIONBANCAL CORP (DELAWARE),XNYS,CS,False,likely_chartable
TIN^12,TIN,TEMPLE INLAND INC,XNYS,CS,False,likely_chartable
CSGS^26,CSGS,CSG Systems International,XNAS,CS,False,likely_chartable
LYV,LYV,Live Nation Entertainment Inc.,XNYS,CS,True,likely_chartable
FHN,FHN,First Horizon Corporation,XNYS,CS,True,likely_chartable
PTRY^15,PTRY,PANTRY INC (THE),XNAS,,False,likely_chartable
BPFH^21,BPFH,"Boston Private Financial Holdings, Inc.",XNAS,CS,False,likely_chartable
BKD,BKD,"Brookdale Senior Living, Inc.",XNYS,CS,True,likely_chartable
MDVN^16,MDVN,"MEDIVATION, INC.",XNAS,,False,likely_chartable
UNFI,UNFI,United Natural Foods Inc,XNYS,CS,True,likely_chartable
TSFG^10,TSFG,THE SOUTH FINANCIAL GROUP INC,XNAS,,False,likely_chartable
ZION,ZION,Zions Bancorporation N.A.,XNAS,CS,True,likely_chartable
RF,RF,Regions Financial Corp.,XNYS,CS,True,likely_chartable
MI.1^11,MI,NFT Limited,XASE,CS,True,likely_chartable
PALM^10,PALM,"PALM, INC.",,,False,low_confidence
FNB,FNB,F.N.B. Corp,XNYS,CS,True,likely_chartable
IPHS^20,IPHS,"Innophos Holdings, Inc.",XNAS,CS,False,likely_chartable
AFAM^18,AFAM,Almost Family Inc,XNAS,CS,False,likely_chartable
ACF^10,ACF,AMERICREDIT CORP,XNYS,CS,False,likely_chartable
CHS^24,CHS,"Chicos FAS, Inc.",XNYS,CS,False,likely_chartable
ORI,ORI,Old Republic International Corporation,XNYS,CS,True,likely_chartable
LEN,LEN,Lennar Corporation Class A,XNYS,CS,True,likely_chartable
ASB,ASB,Associated Banc-Corp,XNYS,CS,True,likely_chartable
TRMK,TRMK,Trustmark Corp,XNAS,CS,True,likely_chartable
WTFC,WTFC,Wintrust Financial Corp,XNAS,CS,True,likely_chartable
PSS^12,PSS,"COLLECTIVE BRANDS, INC COM (HLDG CO)",XNYS,CS,False,likely_chartable
TFC,TFC,Truist Financial Corporation,XNYS,CS,True,likely_chartable
NDN^12,NDN,$.99 ONLY STORES,XNYS,CS,False,likely_chartable
SNDK.1^16,SNDK,Sandisk Corporation Common Stock,XNAS,CS,True,likely_chartable
CVBF,CVBF,CVB Financial Corp,XNAS,CS,True,likely_chartable
PCBC.3^12,PCBC,PACIFIC CAPITAL BANCORP COM,,,False,low_confidence
FR,FR,"First Industrial Realty Trust, Inc.",XNYS,CS,True,likely_chartable
SUSQ^15,SUSQ,SUSQUEHANNA BANCSHARES INC,XNAS,,False,likely_chartable
UBSI,UBSI,United Bankshares Inc,XNAS,CS,True,likely_chartable
SF,SF,Stifel Financial Corp.,XNYS,CS,True,likely_chartable
WFC,WFC,Wells Fargo & Co.,XNYS,CS,True,likely_chartable
COLB,COLB,Columbia Banking Systems Inc,XNAS,CS,True,likely_chartable
MTB,MTB,M&T Bank Corp.,XNYS,CS,True,likely_chartable
FBP,FBP,First BanCorp.,XNYS,CS,True,likely_chartable
JPM,JPM,JPMorgan Chase & Co.,XNYS,CS,True,likely_chartable
WL^11,WL,WILMINGTON TRUST CORP,XNYS,CS,False,likely_chartable
SBNY,SBNY,SIGNATURE BANK (NY),OTC Link,CS,True,low_confidence
CMA^26,CMA,Comerica Incorporated,XNYS,CS,False,likely_chartable
MNST,MNST,Monster Beverage Corporation,XNAS,CS,True,likely_chartable
GBCI,GBCI,Glacier Bancorp Inc,XNYS,CS,True,likely_chartable
RATE.2^09,RATE,Global X Interest Rate Hedge ETF,ARCX,ETF,False,low_confidence
JOSB^14,JOSB,JOS A BANK CLOTHIERS INC,XNAS,,False,likely_chartable
STI.1^19,STI,"Solidion Technology, Inc. Common Stock",XNAS,CS,True,likely_chartable
ARTC.1^14,ARTC,Art Technology Acquisition Corp. Class A Ordinary Shares,XNAS,CS,True,likely_chartable
BRK.A,BRK.A,Berkshire Hathaway Inc.,XNYS,CS,True,likely_chartable
CADE^26,CADE,Cadence Bank,XNYS,CS,False,likely_chartable
FLO,FLO,"Flowers Foods, Inc.",XNYS,CS,True,likely_chartable
CME,CME,CME Group Inc.,XNAS,CS,True,likely_chartable
NWN,NWN,Northwest Natural Holding Company,XNYS,CS,True,likely_chartable
AEM,AEM,Agnico Eagle Mines Ltd.,XNYS,CS,True,likely_chartable
RGLD,RGLD,Royal Gold Inc,XNAS,CS,True,likely_chartable
SR,SR,Spire Inc.,XNYS,CS,True,likely_chartable
MCY,MCY,Mercury General Corp.,XNYS,CS,True,likely_chartable
GFI,GFI,Gold Fields Ltd ADR,XNYS,ADRC,True,likely_chartable
LAZ,LAZ,"Lazard, Inc.",XNYS,CS,True,likely_chartable
CMTL,CMTL,Comtech Telecommunications,XNAS,CS,True,likely_chartable
BIIB,BIIB,Biogen Inc. Common Stock,XNAS,CS,True,likely_chartable
FMBI^22,FMBI,First Midwest Bancorp Inc/IL,XNAS,CS,False,likely_chartable
HUN,HUN,Huntsman Corporation,XNYS,CS,True,likely_chartable
AJG,AJG,Arthur J. Gallagher & Co.,XNYS,CS,True,likely_chartable
DLR,DLR,"Digital Realty Trust, Inc.",XNYS,CS,True,likely_chartable
KBW^13,KBW,"KBW, INC. COM",XNYS,CS,False,likely_chartable
IAG,IAG,IAMGold Corporation,XNYS,CS,True,likely_chartable
PNY^16,PNY,PIEDMONT NATURAL GAS CO INC(NC,XNYS,CS,False,likely_chartable
ATML^16,ATML,ATMEL CORP,XNAS,,False,likely_chartable
CCC.1^18,CCC,CCC Intelligent Solutions Holdings Inc. Common Stock,XNAS,CS,True,likely_chartable
GHL^23,GHL,"Greenhill & Co., Inc.",XNYS,CS,False,likely_chartable
JEF.3^13,JEF,Jefferies Financial Group Inc.,XNYS,CS,True,likely_chartable
UMC,UMC,United Microelectronic Corp.,XNYS,ADRC,True,likely_chartable
C,C,Citigroup Inc.,XNYS,CS,True,likely_chartable
CAVM^18,CAVM,"Cavium, Inc.",XNAS,CS,False,likely_chartable
AIG,AIG,"American International Group, Inc.",XNYS,CS,True,likely_chartable
PRGO,PRGO,PERRIGO COMPANY PLC,XNYS,CS,True,likely_chartable
FCF,FCF,First Commonwealth Financial Corporation,XNYS,CS,True,likely_chartable
TKC,TKC,TURKCELL ILETISIM HIZMETLERI A.S. ADS,XNYS,ADRC,True,likely_chartable
TLK,TLK,PT Telekomunikasi Indonesia,XNYS,ADRC,True,likely_chartable
NAL^11,NAL,NEWALLIANCE BANCSHARES INC,XNYS,CS,False,likely_chartable
TFSL,TFSL,TFS Financial Corporation,XNAS,CS,True,likely_chartable
CHL^21,CHL,China Mobile Limited,XNYS,ADRC,False,likely_chartable
ICE,ICE,Intercontinental Exchange  Inc.,XNYS,CS,True,likely_chartable
AMED^25,AMED,Amedisys Inc,XNAS,CS,False,likely_chartable
CHU^21,CHU,China Unicom (HONG KONG) Limited,XNYS,ADRC,False,likely_chartable
GS,GS,Goldman Sachs Group Inc.,XNYS,CS,True,likely_chartable
IBKR,IBKR,"Interactive Brokers Group, Inc. Class A Common Stock",XNAS,CS,True,likely_chartable
MER^09,MER,"MERRILL, LYNCH & CO INC",XNYS,CS,False,likely_chartable
CEG.1^12,CEG,Constellation Energy Corporation Common Stock,XNAS,CS,True,likely_chartable
NDAQ,NDAQ,"Nasdaq, Inc. Common Stock",XNAS,CS,True,likely_chartable
ALGT,ALGT,Allegiant Travel Company,XNAS,CS,True,likely_chartable
ABT,ABT,Abbott Laboratories,XNYS,CS,True,likely_chartable
EPD,EPD,Enterprise Products Partners L.P.,XNYS,CS,True,likely_chartable
NPBC^16,NPBC,NATL PENN BANCSHARES INC,XNAS,,False,likely_chartable
THS^26,THS,"Treehouse Foods, Inc.",XNYS,CS,False,likely_chartable
SKM,SKM,"SK Telecom Co., Ltd.  American Depositary Shares (Each representing 5/9th of a Ordinary Share of SK Telecom Co., LTD.)",XNYS,ADRC,True,likely_chartable
BWP^18,BWP,Boardwalk Pipeline Partners,XNYS,CS,False,likely_chartable
ETR,ETR,Entergy Corporation,XNYS,CS,True,likely_chartable
PAA,PAA,"Plains All American Pipeline, L.P. Common Units representing Limited Partner Interests",XNAS,CS,True,likely_chartable
FDRY^08,FDRY,FOUNDRY NETWORKS INC,,,False,low_confidence
SVR.1^11,SVR,"SYNIVERSE HOLDINGS, INC.",XNYS,CS,False,likely_chartable
PBT,PBT,Permian Basin Royalty Trust,XNYS,CS,True,likely_chartable
DWA^16,DWA,DREAMWORKS ANIMATION SKG INC CL-A,XNAS,CS,False,likely_chartable
APOL^17,APOL,Apollo Education Group Inc Class A,XNAS,CS,False,likely_chartable
THOR.1^15,THOR,Thornburg Premium Income Builder ETF,ARCX,ETF,True,low_confidence
ETP^18,ETP,"Energy Transfer Partners, L.P.",XNYS,CS,False,likely_chartable
VRSN,VRSN,VeriSign Inc,XNAS,CS,True,likely_chartable
KR,KR,The Kroger Co.,XNYS,CS,True,likely_chartable
AWK,AWK,"American Water Works Company, Inc",XNYS,CS,True,likely_chartable
KMP^14,KMP,KINDER MORGAN ENER PNTRS L.P.,XNYS,CS,False,likely_chartable
GILD,GILD,Gilead Sciences Inc,XNAS,CS,True,likely_chartable
KMR^14,KMR,KINDER MORGAN MANAGEMENT LLC,XNYS,CS,False,likely_chartable
MU,MU,"Micron Technology, Inc.",XNAS,CS,True,likely_chartable
SYNA,SYNA,Synaptics Inc,XNAS,CS,True,likely_chartable
MYGN,MYGN,Myriad Genetics Inc,XNAS,CS,True,likely_chartable
TECH,TECH,Bio-Techne Corp.,XNAS,CS,True,likely_chartable
AMGN,AMGN,Amgen Inc,XNAS,CS,True,likely_chartable
TLAB^13,TLAB,TELLABS INC,XNAS,,False,likely_chartable
SWN^24,SWN,Southwestern Energy Company,XNYS,CS,False,likely_chartable
VRX.1^10,VRX,Valeant Pharmaceuticals Intl,XNYS,CS,False,likely_chartable
DLTR,DLTR,Dollar Tree Inc.,XNAS,CS,True,likely_chartable
RAH^13,RAH,RALCORP HOLDINGS INC. (NEW),XNYS,CS,False,likely_chartable
MO,MO,"Altria Group, Inc.",XNYS,CS,True,likely_chartable
CBST^15,CBST,CUBIST PHARMACEUTICALS INC,XNAS,,False,likely_chartable
SO,SO,The Southern Company,XNYS,CS,True,likely_chartable
LINEQ^17,LINEQ,,,,,unknown_not_in_polygon
