,0
BVN,True
BWEN,True
BWNG^07,False
BYAH,True
CAAS,True
CAI,True
CANN,True
CARG,True
CARM,True
CATX,True
CAVM^18,False
CBAT,True
CBI^18,False
CBST^15,False
CCJ,True
CCL,True
CCOI,True
CDE,True
CDIIQ,True
CDMO^25,False
CEG,True
CELL.1^12,False
CELL^23,False
CENX,True
CERT,True
CETV^20,False
CFLT^26,False
CGC,True
CHAP.1^07,False
CHIC.2^09,False
CHNEY,True
CHPT,True
CHX^25,False
CIEIQ^18,
CIEN,True
CIMG,True
CIVI^26,False
CKCM^06,False
CLB,True
CLF,True
CLGX^21,False
CMC,True
CMOS^08,False
CMP,True
CMPR,True
CMTL,True
CNC,True
CNTFY^23,
CNVR^14,False
CNX,True
CNXT.1^11,True
COF,True
COGT.1^10,True
COIN,True
COMP,True
COOP^25,False
CORV^20,False
CPA,True
CRAY^19,False
CRBC^13,False
CRDN^12,False
CREAF,True
CRNC,True
CROX,True
CRSR,True
CRUS,True
CRYP.2^12,False
CRZO^19,False
CSCIF,True
CSH.1^16,False
CTB^21,False
CTCI^07,False
CTIC^23,False
CTLP^26,False
CTMX,True
CTRA^26,False
CTRX^15,False
CTX.2^09,False
CUBI,True
CUP^07,False
CURLF,True
CVE,True
CVI,True
CVSI,True
CWBHF,True
CYDY,True
CYTOF,True
CY^20,False
CZR,True
DADA^25,False
DAKT,True
DAR,True
DAY^26,False
DBDQQ^23,
DBI,True
DCEL.1^07,False
DCP^23,False
DECK,True
DELL,True
DFDV,True
DFTX,True
DINO,True
DISH^24,False
DLR,True
DLTR,True
DMKPQ^25,
DMRA,True
DOCN,True
DRK,True
DRNA^21,False
DSTI^17,False
DVN,True
DXCM,True
DXPE,True
EBODF,True
EB^26,False
ECG,True
EDSA,True
EGHT,True
EGIOQ^25,
EGY,True
EHC,True
ELN^13,False
ELOS^17,False
EMKR^25,False
ENCY^08,False
ENGCQ^25,
ENLK^19,False
ENS,True
ENWV^11,False
EPIC^11,False
EPL^14,False
EQC^25,False
EQT,True
EQU^14,False
EQX,True
ERF^24,False
ERS^17,False
EYE,True
EYPT,True
EZM.1^06,True
EZPW,True
EZRA,True
FCEL,True
FCL.2^09,False
FCS^16,False
FEED,True
FET,True
FFAI,True
FFIV,True
FIT.2^21,False
FITB,True
FLG,True
FL^25,False
FMCN^13,False
FMD^16,False
FNCX^18,False
FND,True
FNSR^19,False
FOE^22,False
FORM,True
FOXH^07,False
FRPT.1^11,True
FSRNQ^24,
FTI,True
FTI.1^17,True
FTO^11,False
FTRE,True
FULT,True
FUTU,True
FWLT^14,False
FWRD,True
GDRX,True
GE,True
GENI,True
GEO,True
GEPT^13,False
GERN,True
GES^26,False
GFASY,True
GFIG^16,False
GG^19,False
GIC,True
GIGM,True
GIII,True
GKNT^15,False
GLAE^26,
GLBC^11,False
GLBL.1^11,True
GLBR,True
GLFE,True
GLG.2^06,False
GLNG,True
GLW,True
GLXY,True
GME,True
GOLLQ^25,
GRAB,True
GRA^21,False
GROW,True
GSS^22,False
GTTNQ^22,
GTW^07,False
HA^24,False
HEES^25,False
HGENQ^24,
HGSI^12,False
HIBB^24,False
HITT^14,False
HIVE,True
HK.1^11,False
HL,True
HLIT,True
HMY,True
HNPIY^22,
HOLX^26,False
HOTT^13,False
HOUS^26,False
HP,True
HPR^21,False
HQCL^19,False
HROW,True
HRST,True
HS.2^12,False
HSOA^10,False
HTSI^14,False
HUBG,True
HUT,True
HYPD,True
ICE,True
ICOS^07,False
ID.2^11,False
IDEXQ^26,
IIIN,True
ILMN,True
IMAX,True
IMGN^24,False
IMO,True
INDI,True
INTC,True
IOC^17,False
IOGPQ^22,
IPSU^12,False
IQNT^17,False
IRTC,True
ISEE^23,False
ISE^07,False
ISON,True
ISSX^06,False
ITGR,True
ITWO.1^10,True
IVAC^25,False
IVCRQ^23,
JAGGF,True
JAMN,True
JBLU,True
JMBA^18,False
JOBS^22,False
JOE,True
JOY^17,False
JRJCY^25,
JWN^25,False
KATE^17,False
KCG.1^13,False
KCI^11,False
KDMN^21,False
KEEL,True
KEY,True
KKD^16,False
KLIC,True
KND^18,False
KOMG^07,False
KOS,True
KRA^22,False
KZ^17,False
LCINQ^23,
LDSH^11,False
LEXR^06,False
LFCHY^22,
LFG^22,False
LFMD,True
LGMK,True
LGND,True
LIFC^08,False
LION,True
LITE,True
LIVN,True
LKM^18,False
LLFLQ^24,
LMND,True
LMS^07,False
LNG,True
LONA,True
LPSN^26,False
LPT^20,False
LRCX,True
LSCP.1^06,True
LUFK^13,False
LVLT^17,False
LVS,True
LWLG,True
MASI^26,False
MCOM,True
MCRI,True
MDG^08,False
MDTL^13,False
ME.2^10,False
MED,True
MEDX.1^09,True
MEET^20,False
MEHCQ^25,
MGAM.1^14,True
MGPI,True
MI,True
MKULQ^24,
MLNM^08,False
MM.1^08,False
MMNFQ^26,
MNDT^22,False
MNKKQ^22,
MNSO,True
MNTA^20,False
MNTV^23,False
MOD,True
MOH,True
MP,True
MPU,True
MPWR,True
MRGE.1^15,True
MRO^24,False
MRVC^17,False
MSO^15,False
MSPD^13,False
MT,True
MTCH,True
MTOR^22,False
MTRN,True
MUSA.1^05,True
MX,True
MXIM^21,False
MXL,True
MYGN,True
MYOG^06,False
NAKA,True
NAPS^08,False
NBIX,True
NBR,True
NCLH,True
NCTY,True
NDAQ,True
NET,True
NETI^23,False
NETL.1^12,True
NEU,True
NEUE^25,False
NEX^23,False
NFLX,True
NG,True
NGAC.1^10,False
NGAS^11,False
NGEN.1^14,True
NGL,True
NGLOY,True
NGPS^07,False
NGS,True
NKTX,True
NMGC,True
NMTI^14,False
NMTRQ,True
NNOX,True
NPTN^22,False
NSLR,True
NSRGY,True
NSRS,True
NSS.1^06,False
NTBLQ,True
NTCOY^24,
NTES,True
NTMD^09,False
NTO^07,False
NTPIF,True
NTRI^19,False
NUAN^22,False
NUE,True
NVAX,True
NVDA,True
NVEC,True
NVE^13,False
NVMI,True
NVRI,True
NWL,True
NWRE^07,False
NXE,True
NXG.1^11,True
NXGN^23,False
NYT,True
OATS^07,False
OBX,True
OCLR^18,False
ODD,True
OGZPY^22,
OIGBQ^23,
OII,True
OIS,True
OKE,True
OKLO,True
OLLI,True
OLMA,True
OM,True
OMEX,True
OMG^15,False
OMNI^10,False
ONXX^13,False
OPEN,True
ORA,True
ORIC,True
OS.1^07,False
OSCR,True
OSH^23,False
OSUR,True
OTIVF^22,
OUTR^16,False
OVEN^09,False
OVIP^10,False
OVTI^16,False
OVV,True
OXPS^11,False
OXY,True
PALM^10,False
PANC,True
PARL^12,False
PARR,True
PAY,True
PCG,True
PCT,True
PCVX,True
PD.1^07,True
PDCE^23,False
PDGI^09,False
PDS,True
PENN,True
PHLT^25,False
PLAY.1^07,True
PLLL.1^09,False
PLL^25,False
PLMR,True
PLUG,True
PLXS,True
PMTI^13,False
PMVP,True
PNK^18,False
POLY^22,False
PPC,True
PRCH,True
PRCT,True
PRETQ^24,
PSKY,True
PSNL,True
PTRCY^22,
PVCT,True
PWEI^07,True
PYXSQ^20,
PZZA,True
QDEL,True
QFIN,True
QMCO,True
QNCX,True
QRVO,True
QS,True
QSR,True
QUOT^23,False
QVCAQ^26,
RADCQ^24,
RAIL,True
RBAK^07,False
RCKT,True
RCM^24,False
RCPIQ^23,
RDNT,True
RDUS^25,False
RES,True
REVRQ^23,
RGLD,True
RGSEQ^22,
RGTPQ^25,
RIG,True
RLAY,True
RLX,True
RMBS,True
RNAM^26,False
RNWK^22,False
ROCC^23,False
RPD,True
RRC,True
RRD^22,False
RTI^15,False
RVMD,True
RWAX,True
RXRX,True
RXT,True
RYI.1^07,False
RYTM,True
S,True
SABR,True
SAIA,True
SAND^25,False
SANM,True
SBAC,True
SBH,True
SBSW,True
SCPX,True
SDGR,True
SG,True
SGTL^08,False
SHAW^13,False
SHOO,True
SID,True
SIFY,True
SIG,True
SILK^24,False
SIMG^15,False
SIMO,True
SIMPQ,True
SINA^21,False
SIOX^24,False
SIRC,True
SIRF^09,False
SIRI,True
SKX^25,False
SLAB,True
SLAIY,True
SLH^16,False
SLMT,True
SLR^07,False
SMSC^12,False
SMSI,True
SMTC,True
SNBRQ,True
SNDK.1^16,True
SNDX,True
SNEX,True
SOAP^12,False
SOFI,True
SPDC,True
SPGZ^26,
SPIR,True
SPIR.1^20,True
SPRY,True
SRCI^20,False
STCN^25,False
STKL^26,False
STLN,True
STMP^21,False
STRP^18,False
STRZA^16,False
STZ,True
SUIG,True
SUMO^23,False
SUM^25,False
SUNEQ^17,
SUSQ^15,False
SWC^17,False
SWIR^23,False
SWN^24,False
SWTX^25,False
SXC,True
SYNA,True
SYNC.1^06,False
SYNH^23,False
SZMK^16,False
TBHC^26,False
TBIO.2^21,True
TBPH,True
TCF^21,False
TCGLF,True
TCOM,True
TCP^21,False
TCSGQ^25,
TDUP,True
TECX,True
TENB,True
TEX,True
TFCFA^19,False
TGNA^26,False
THE^07,False
THMRQ^12,
THO,True
TIE^13,False
TIL,True
TIMB,True
TIVO.1^16,False
TJGC,True
TKO,True
TLAB^13,False
TLEO^12,False
TLS,True
TMTA^09,False
TONS.1^07,False
TPL,True
TQNT^15,False
TRIP,True
TRLG^13,False
TRLV,True
TROO,True
TRUP,True
TSEM,True
TTI,True
TTM^23,False
TTOO,True
TUPBQ^25,
TUYA,True
TVTX,True
TVTY^22,False
TWTC^14,False
TXG,True
TZOO,True
U,True
UAL,True
UAN,True
UCTT,True
UFS^21,False
UIS,True
ULCC,True
UNIT,True
UNTD^16,False
URBN,True
URGN,True
USG.1^19,True
USNA,True
UTSI,True
UVE,True
VEON,True
VIAB^19,False
VICR,True
VIEWF,True
VIMC^15,False
VIVO.1^23,True
VJTTY^25,
VLO,True
VLTC^19,False
VOLT.3^22,True
VPHM^14,False
VRE^26,False
VRM,True
VRN^25,False
VRTX,True
VSAT,True
VST,True
VSTO^24,False
VSXY,True
VTLE^25,False
VTRS,True
VTSS^15,False
VYGVQ,True
WBA^25,False
WCC,True
WCG^20,False
WEB^18,False
WEIDY^25,
WEST.3^18,True
WEWKQ^24,
WFM^17,False
WGHTQ^25,
WIND.1^09,False
WINT,True
WIRE^24,False
WLTGQ^19,
WNR^17,False
WRBY,True
WRK^24,False
WTI,True
XCRA^18,False
XFOR,True
XNCR,True
XP,True
XPOF,True
XPRO,True
XRTX.1^14,True
XSNX,True
XTKG^26,False
XWEL,True
XXI,True
XXIA^17,False
XYLO^25,False
X^25,False
YELLQ^26,
YSG,True
ZETA,True
ZEUS^26,False
ZGNX^22,False
ZLAB,True
ZNHYY^23,
ZOLT^14,False
ZUMZ,True
ZVOI,True
ZYME,True
